symbol,total_pnl,num_trades,avg_pnl,win_rate,avg_slope,avg_win,avg_loss,profit_factor,num_winners,num_losers
APLD,808162.601,57,7080.055438596491,42.10526315789473,8.521263825585939,18593.22125,-1293.1560606060607,10.456852919155976,24,33
NVAX,368507.48000000004,66,2728.235757575758,34.84848484848485,5.672274801126686,9911.86434782609,-1114.1702325581393,4.758424456869771,23,43
TNDM,213246.95800000004,67,1600.2841791044777,43.28358208955223,3.6256599832148666,4672.660689655173,-744.4242105263157,4.7902497585558885,29,38
TBCH,203590.98100000003,61,1804.6637704918035,32.78688524590164,3.8899230000858362,6817.7705000000005,-640.7541463414634,5.190355343474838,20,41
FCEL,189796.02099999998,67,1411.3122388059696,37.3134328358209,6.306731375403204,5296.475600000001,-901.2850000000002,3.4979657351659545,25,42
AMTX,162408.89800000002,54,1405.7796296296294,42.592592592592595,6.314102126772918,4559.662173913043,-934.197741935484,3.6212624045541224,23,31
VKTX,154816.71200000003,68,1635.7917647058825,35.294117647058826,4.968739896233382,5726.795833333334,-595.6649999999998,5.244066410116122,24,44
MVIS,149310.73599999998,63,1307.333333333333,49.2063492063492,5.757055051876708,3696.442580645162,-1007.11625,3.5556260262904114,31,32
NEON,144635.848,48,1536.80875,54.166666666666664,6.072743279143154,3917.2538461538456,-1276.4445454545455,3.6268569869858673,26,22
AAOI,129126.93699999999,63,1014.9636507936507,46.03174603174603,4.9084902844517515,3051.003793103449,-721.6588235294118,3.60603470761807,29,34
PLUG,121043.07700000002,58,1085.75,50.0,4.464885768551699,2927.9496551724137,-756.4496551724137,3.870647088212448,29,29
EXPI,118031.16500000002,58,1589.92,37.93103448275862,3.807999089041811,4974.142272727272,-478.21583333333325,6.35644702502415,22,36
ENPH,116077.12200000002,66,828.4056060606063,43.93939393939394,4.823697106901412,2743.974137931035,-672.9859459459459,3.195731568226798,29,37
CAR,111475.476,61,1291.9249180327868,40.98360655737705,4.8970863180226845,4079.6464000000005,-643.9927777777777,4.399253959887405,25,36
VSA,105505.095,47,1295.3451063829789,53.191489361702125,5.274258226313263,3231.1635999999994,-904.4486363636363,4.059685282897114,25,22
LFMD,102903.57999999999,64,929.6910937499999,43.75,6.2377938486975255,3053.026428571429,-721.7919444444445,3.2898345976121925,28,36
ALTS,100992.65099999998,44,1165.3531818181818,40.909090909090914,6.2283673506711885,4453.893888888889,-1111.3288461538464,2.7745747900555635,18,26
MGNI,99947.897,69,793.522463768116,42.028985507246375,4.128412458342112,3076.37724137931,-861.54725,2.588799975857389,29,40
PACB,96239.56099999999,57,1339.1870175438596,35.08771929824561,4.900352455710117,5341.1335,-824.027297297297,3.5036450839171245,20,37
NVDA,93556.019,62,1104.3616129032257,64.51612903225806,3.1901662345976747,2056.47625,-626.7559090909091,5.965715955827373,40,22
TSLA,91094.79199999999,57,1072.947192982456,50.877192982456144,3.9180194861689626,2474.2437931034483,-378.39571428571435,6.772300917029413,29,28
MSTR,87148.75600000001,57,1268.2907017543857,38.59649122807017,3.912241724759767,4231.852272727273,-594.5194285714285,4.474238016011012,22,35
COMM,84238.56400000001,62,640.6348387096774,45.16129032258064,3.7462340768226157,2377.842857142857,-790.0070588235294,2.4787418131781402,28,34
ATEC,84222.20899999999,56,924.2349999999999,60.71428571428571,4.50127000333222,2170.434117647059,-1001.7090909090912,3.3485842378480406,34,22
ARWR,82464.6,71,615.7339436619717,43.66197183098591,4.204016440013241,2181.5554838709677,-597.7777499999999,2.82831788235678,31,40
DVAX,82272.019,52,809.3109615384612,42.30769230769231,4.0188309388012655,2644.105,-536.2046666666666,3.616175788598135,22,30
CRMD,82053.59400000001,67,593.0889552238805,44.776119402985074,4.658328044205176,2667.1663333333336,-1088.5954054054057,1.986566622051773,30,37
IBRX,78614.691,71,529.1391549295776,39.436619718309856,5.300107966368372,2773.0099999999993,-931.9860465116279,1.9374548975181778,28,43
CLDX,78329.97000000002,63,519.3650793650793,28.57142857142857,3.9627806891630035,3509.585555555556,-676.7231111111109,2.074458813616205,18,45
CDNA,76710.46299999999,52,949.1607692307691,46.15384615384615,4.294931652567194,3245.2862499999997,-1018.9467857142857,2.729950148104608,24,28
AUPH,76549.38,68,574.1229411764706,41.17647058823529,4.14085707946058,2506.658571428571,-778.6520000000002,2.253459825441917,28,40
MGNX,75983.113,65,476.24169230769223,32.30769230769231,4.427344772690962,3140.612380952381,-795.3897727272728,1.8845208824147108,21,44
SLNO,75304.104,48,1265.0154166666669,37.5,5.599742293930997,5054.282777777778,-1008.5449999999998,3.0068759119986392,18,30
AXGN,74845.473,61,812.6306557377048,54.09836065573771,3.723913486392631,1986.508787878788,-570.8685714285715,4.10119354467378,33,28
INSG,71912.83899999999,63,504.58047619047625,39.682539682539684,5.072709533870889,2340.7428000000004,-703.4210526315791,2.189246913580247,25,38
SHOP,70074.374,61,768.7942622950821,57.377049180327866,3.7175431590565644,1864.2474285714286,-705.854230769231,3.555357093232912,35,26
ATXS,65844.81100000002,65,528.8344615384617,53.84615384615385,4.975300179112891,2075.832285714286,-1275.9963333333333,1.8979712324147227,35,30
AMD,65565.418,68,749.3935294117648,58.82352941176471,3.1482198211637993,1702.5210000000002,-612.2171428571429,3.9727290970524,40,28
NTRA,65043.69,60,668.0676666666666,50.0,3.6598200052182386,1841.8016666666665,-505.6663333333333,3.64232606613452,30,30
EYPT,64025.452000000005,64,665.798125,48.4375,5.107652717775347,2182.311612903226,-758.8054545454546,2.7016810313499127,31,33
RUN,59752.573000000004,72,556.9308333333333,43.05555555555556,4.06437068871788,2291.740967741936,-754.7548780487805,2.2958178959733337,31,41
GSAT,59489.83399999997,53,984.8124528301884,52.83018867924528,4.684314795661253,2907.109642857143,-1168.1604,2.787256613047318,28,25
SMCI,59442.075999999994,68,538.0941176470587,57.35294117647059,3.7958348170770506,1570.9758974358974,-850.9537931034484,2.4827337762170316,39,29
ASTH,58706.939000000006,59,517.0396610169491,38.983050847457626,4.231952211379319,2503.1069565217385,-751.8366666666667,2.127067344709917,23,36
SPWH,57449.521,56,542.6794642857142,41.07142857142857,3.9363765629824434,2278.861304347826,-667.3866666666668,2.379875643396041,23,33
LNTH,57073.897,68,485.59926470588226,44.11764705882353,3.63888244838677,1958.0490000000007,-676.861052631579,2.2838190377252277,30,38
STX,55539.289,59,551.1601694915254,57.6271186440678,2.7304762285343327,1202.9391176470588,-335.25919999999996,4.87979807862096,34,25
AMSC,54884.759,59,626.216440677966,45.76271186440678,4.424068983679407,2342.956666666667,-822.2831249999999,2.404122895626735,27,32
FTAI,54744.568000000014,54,739.9074074074075,55.55555555555556,3.1977579610347835,1791.641,-574.7595833333332,3.896500928286683,30,24
CLNE,54653.03500000002,64,368.125,32.8125,3.7178353115912453,2565.941904761905,-705.2274418604652,1.7769223717369096,21,43
STKL,54176.954,53,428.67660377358493,43.39622641509434,3.676059363435939,1878.5360869565216,-682.8823333333332,2.109017805410107,23,30
AXON,53089.634999999995,68,515.4923529411765,60.29411764705882,2.929170654286814,1245.1431707317072,-592.4959259259258,3.1911999394901294,41,27
STRL,52492.98900000001,65,582.3618461538463,60.0,3.233143740113281,1331.588717948718,-541.4784615384616,3.688758129451843,39,26
CROX,50991.73199999999,58,668.1627586206897,50.0,3.2931898865307208,1868.594827586207,-532.2693103448279,3.5106191382246847,29,29
CECO,50279.767,58,525.0365517241379,55.172413793103445,3.4741700556482358,1283.504375,-408.4623076923077,3.8674258617215407,32,26
WLDN,49718.53899999998,63,470.92142857142846,47.61904761904761,2.954408852895395,1594.8353333333334,-550.8184848484848,2.6321743785143985,30,33
FATE,49658.45000000001,66,425.0983333333333,36.36363636363637,4.950350750902475,2587.5320833333335,-810.5780952380952,1.8241175903852278,24,42
