year,return_pct,start_value,end_value
2016,26.75623820684221,1000860.883985048,1268653.6062231942
2017,46.348303724560814,1268653.6062231942,1856653.032848114
2018,40.47125666921216,1856653.032848114,2608063.847228786
2019,29.40538384467693,2608063.847228786,3374975.032420659
2020,97.11583819185098,3374975.032420659,6652610.323921677
2021,28.414854215899055,6652610.323921677,8542939.849015871
2022,-2.3228311341930397,8542939.849015871,8344501.782427547
2023,12.339498296602642,8344501.782427547,9374171.43773017
2024,12.252915972381302,9374171.43773017,10522780.787102217
2025,9.987275697856097,10522780.787102217,11573719.915391147
