date,cash,realized_pnl,open_pnl,total_pnl,portfolio_value,concurrent_positions,peak_value,drawdown,drawdown_pct
2016-05-13,1000000,0.0,860.8839850480683,860.8839850480683,1000860.883985048,51,1000860.883985048,0.0,0.0
2016-05-20,1000000,0.0,518.1581460315588,518.1581460315588,1000518.1581460316,66,1000860.883985048,-342.7258390164934,-0.03424310456133416
2016-05-27,1000000,0.0,-2370.0223008682883,-2370.0223008682883,997629.9776991317,100,1000860.883985048,-3230.9062859163387,-0.3228127242871253
2016-06-03,1000000,0.0,-7812.107381980658,-7812.107381980658,992187.8926180194,162,1000860.883985048,-8672.991367028677,-0.8665531349867645
2016-06-10,1000000,-22697.245,1227.4577240855126,-21469.787275914485,978530.2127240855,253,1000860.883985048,-22330.671260962496,-2.2311463679198096
2016-06-17,1000000,-53441.779,29942.788848902324,-23498.990151097678,976501.0098489024,238,1000860.883985048,-24359.874136145692,-2.4338921148715413
2016-06-24,1000000,-66924.572,55015.84681902497,-11908.72518097503,988091.274819025,206,1000860.883985048,-12769.609166023089,-1.275862546968501
2016-07-01,1000000,-58379.331999999995,60841.05096764216,2461.718967642162,1002461.7189676422,125,1002461.7189676422,0.0,0.0
2016-07-08,1000000,-58491.61,76233.1425388564,17741.532538856394,1017741.5325388564,147,1017741.5325388564,0.0,0.0
2016-07-15,1000000,-61728.626000000004,94922.12058859061,33193.494588590605,1033193.4945885906,222,1033193.4945885906,0.0,0.0
2016-07-22,1000000,-71647.986,118301.80835727286,46653.82235727286,1046653.8223572728,304,1046653.8223572728,0.0,0.0
2016-07-29,1000000,-73561.645,140814.08451898652,67252.43951898652,1067252.4395189865,305,1067252.4395189865,0.0,0.0
2016-08-05,1000000,-46332.10500000001,141376.06147987992,95043.95647987991,1095043.95647988,308,1095043.95647988,0.0,0.0
2016-08-12,1000000,-35231.719,154307.46616834664,119075.74716834664,1119075.7471683465,299,1119075.7471683465,0.0,0.0
2016-08-19,1000000,-40633.924,184266.32341011084,143632.39941011084,1143632.399410111,298,1143632.399410111,0.0,0.0
2016-08-26,1000000,-39955.37800000001,209832.61616378068,169877.23816378065,1169877.2381637807,298,1169877.2381637807,0.0,0.0
2016-09-02,1000000,-5781.482000000007,203106.75715233432,197325.2751523343,1197325.2751523342,267,1197325.2751523342,0.0,0.0
2016-09-09,1000000,-7867.379000000008,223950.32494616468,216082.94594616466,1216082.9459461647,270,1216082.9459461647,0.0,0.0
2016-09-16,1000000,77783.262,144673.11092405306,222456.37292405305,1222456.372924053,181,1222456.372924053,0.0,0.0
2016-09-23,1000000,85642.09099999999,135351.448973617,220993.53997361698,1220993.539973617,181,1222456.372924053,-1462.8329504360445,-0.11966340745044528
2016-09-30,1000000,70485.87100000001,160194.354504297,230680.225504297,1230680.225504297,191,1230680.225504297,0.0,0.0
2016-10-07,1000000,81813.337,152594.79849635964,234408.13549635964,1234408.1354963596,207,1234408.1354963596,0.0,0.0
2016-10-14,1000000,158163.47999999998,75042.65443735666,233206.13443735664,1233206.1344373566,157,1234408.1354963596,-1202.0010590029415,-0.09737468706163484
2016-10-21,1000000,175921.78000000003,59036.29362007591,234958.07362007594,1234958.0736200758,130,1234958.0736200758,0.0,0.0
2016-10-28,1000000,185643.59000000003,51207.54501605288,236851.1350160529,1236851.135016053,128,1236851.135016053,0.0,0.0
2016-11-04,1000000,184013.16,55949.88378295352,239963.04378295352,1239963.0437829536,95,1239963.0437829536,0.0,0.0
