Symbol,Entry_Type,Entry_Date,Entry_Price,Avg_Entry_Price,Current_Price,Entry_Slope_Original,Entry_Slope_Current,Exit_Slope_Current,Unrealized_PnL,Unrealized_PnL_Pct,Exit_Signal_Risk,Recommended_Level,Recommended_Multiplier,Recommended_Position_Size,Recommended_Shares,Current_Holdings_Shares,Holdings_vs_Recommendation
SRDX,first_entry,2025-11-12,$40.96,$40.96,$41.61,10.83%,10.83%,-0.51%,$110.50,1.6%,NO,High Conviction,2.0x,$2000,48,170,354%
RIGL,first_entry,2025-11-12,$38.50,$38.50,$41.94,7.08%,7.08%,-1.03%,$632.96,8.9%,YES,High Conviction,2.0x,$2000,47,184,391%
AUPH,first_entry | pyramid,2025-11-04 | 2025-11-08,$13.50 | $14.69,$13.97,$15.35,5.11%,6.55%,0.64%,$1208.07,9.9%,NO,High Conviction,2.0x,$2000,130,873,672%
GSAT,first_entry | pyramid,2025-08-28 | 2025-09-01,$27.98 | $29.93,$28.76,$62.95,1.44%,6.29%,3.48%,$14186.90,118.8%,NO,High Conviction,2.0x,$2000,31,415,1339%
IOVA,first_entry,2025-11-12,$2.64,$2.64,$2.47,6.07%,6.07%,-0.13%,$-448.97,-6.4%,NO,High Conviction,2.0x,$2000,809,2641,326%
TNDM,pyramid,2025-10-07,$15.14,$15.14,$18.61,4.39%,5.59%,1.72%,$1155.51,22.9%,NO,High Conviction,2.0x,$2000,107,333,311%
TSEM,first_entry | pyramid,2025-05-12 | 2025-05-16,$39.18 | $42.10,$40.31,$99.26,2.41%,5.54%,2.25%,$17919.76,146.2%,NO,High Conviction,2.0x,$2000,20,304,1520%
ATEC,first_entry | pyramid,2025-10-27 | 2025-10-31,$16.12 | $20.03,$17.74,$19.74,4.86%,4.55%,1.07%,$1482.34,11.3%,NO,Above Average,1.5x,$1500,75,740,987%
FWRD,first_entry,2025-11-12,$21.69,$21.69,$21.18,4.04%,4.04%,-2.70%,$-164.22,-2.4%,YES,Above Average,1.5x,$1500,70,322,460%
BJRI,first_entry | pyramid,2025-11-04 | 2025-11-08,$33.84 | $35.13,$34.37,$36.50,2.22%,3.98%,0.25%,$742.50,6.2%,NO,Above Average,1.5x,$1500,41,348,849%
COHR,first_entry | pyramid,2025-09-17 | 2025-09-21,$104.33 | $109.00,$106.21,$139.33,3.60%,3.93%,2.51%,$3709.85,31.2%,NO,Above Average,1.5x,$1500,10,112,1120%
AXGN,first_entry | pyramid,2025-10-27 | 2025-10-31,$18.24 | $22.68,$19.85,$23.55,5.95%,3.77%,2.13%,$2235.75,18.6%,NO,Above Average,1.5x,$1500,63,605,960%
VCEL,first_entry | pyramid,2025-10-15 | 2025-10-19,$34.23 | $35.75,$34.85,$39.86,2.44%,3.74%,0.72%,$1716.77,14.4%,NO,Above Average,1.5x,$1500,37,343,927%
MTSI,first_entry | pyramid,2025-10-19 | 2025-10-27,$138.61 | $142.90,$140.36,$162.50,1.72%,3.70%,1.25%,$1904.39,15.8%,NO,Above Average,1.5x,$1500,9,86,956%
TVTX,first_entry | pyramid,2025-07-15 | 2025-08-12,$17.05 | $17.25,$17.13,$34.50,3.41%,3.43%,3.02%,$12192.10,101.4%,NO,Above Average,1.5x,$1500,43,702,1633%
GLDD,first_entry | pyramid,2025-11-08 | 2025-11-12,$12.36 | $12.70,$12.50,$12.35,3.16%,3.13%,-0.05%,$-143.26,-1.2%,NO,Above Average,1.5x,$1500,121,964,797%
ENTA,first_entry | pyramid,2025-10-03 | 2025-10-07,$10.26 | $11.30,$10.67,$12.06,9.94%,3.04%,1.98%,$1553.00,13.0%,NO,Above Average,1.5x,$1500,124,1117,901%
LOCO,first_entry | pyramid,2025-11-04 | 2025-11-08,$10.26 | $10.49,$10.36,$10.57,2.57%,3.01%,-0.20%,$248.73,2.1%,NO,Above Average,1.5x,$1500,141,1157,821%
KALV,first_entry,2025-11-12,$11.55,$11.55,$13.62,2.92%,2.92%,-1.51%,$1262.70,17.9%,YES,Average,1.2x,$1200,88,610,693%
BRKR,first_entry | pyramid,2025-09-21 | 2025-10-03,$33.32 | $35.77,$34.31,$41.62,2.13%,2.83%,1.37%,$2587.85,21.3%,NO,Average,1.2x,$1200,28,354,1264%
STX,first_entry | pyramid,2025-05-08 | 2025-05-12,$96.31 | $101.13,$98.32,$258.21,5.28%,2.59%,2.28%,$19986.86,162.6%,NO,Average,1.2x,$1200,4,125,3125%
LGND,first_entry | pyramid,2025-06-13 | 2025-06-17,$112.41 | $113.68,$112.94,$200.86,2.87%,2.58%,1.21%,$9144.19,77.9%,NO,Average,1.2x,$1200,5,104,2080%
AVDL,first_entry | pyramid,2025-10-23 | 2025-10-27,$18.53 | $18.55,$18.54,$23.56,7.14%,2.51%,1.48%,$3244.00,27.1%,NO,Average,1.2x,$1200,50,646,1292%
VKTX,first_entry | pyramid,2025-10-03 | 2025-10-07,$28.23 | $32.50,$29.85,$39.11,4.51%,2.49%,2.54%,$3748.82,31.0%,NO,Average,1.2x,$1200,30,405,1350%
REGN,first_entry | pyramid,2025-09-21 | 2025-10-31,$593.00 | $649.45,$614.95,$693.50,1.19%,2.48%,0.71%,$1413.85,12.8%,NO,Average,1.2x,$1200,1,18,1800%
IDXX,first_entry | pyramid,2025-11-04 | 2025-11-08,$717.44 | $708.06,$713.34,$689.93,2.93%,2.36%,0.39%,$-374.50,-3.3%,NO,Average,1.2x,$1200,1,16,1600%
DVAX,first_entry | pyramid,2025-10-27 | 2025-11-08,$10.41 | $10.93,$10.62,$11.06,1.24%,2.27%,0.42%,$498.03,4.1%,NO,Average,1.2x,$1200,108,1135,1051%
OPCH,pyramid,2025-11-12,$28.71,$28.71,$28.41,2.09%,2.09%,-0.25%,$-52.20,-1.0%,NO,Average,1.2x,$1200,42,174,414%
CYTK,first_entry | pyramid,2025-09-05 | 2025-09-09,$50.71 | $52.09,$51.27,$66.44,8.73%,2.04%,2.05%,$3565.45,29.6%,NO,Average,1.2x,$1200,18,235,1306%
AMBA,first_entry | pyramid,2025-11-08 | 2025-11-12,$92.34 | $94.68,$93.29,$87.84,2.55%,2.02%,0.65%,$-713.52,-5.8%,NO,Average,1.2x,$1200,13,131,1008%
MEOH,first_entry,2025-11-12,$38.25,$38.25,$36.79,1.97%,1.97%,-0.18%,$-270.10,-3.8%,NO,Base,1.0x,$1000,27,185,685%
FSLR,first_entry | pyramid,2025-07-07 | 2025-07-27,$183.00 | $183.75,$183.31,$253.08,5.07%,1.86%,1.57%,$4395.54,38.1%,NO,Base,1.0x,$1000,3,63,2100%
LPLA,first_entry | pyramid,2025-10-23 | 2025-10-27,$340.51 | $342.46,$341.31,$370.59,1.96%,1.77%,0.19%,$995.42,8.6%,NO,Base,1.0x,$1000,2,34,1700%
MKSI,first_entry | pyramid,2025-08-28 | 2025-09-09,$106.40 | $109.36,$107.60,$142.74,1.23%,1.62%,1.94%,$3900.54,32.7%,NO,Base,1.0x,$1000,7,111,1586%
NTRA,first_entry | pyramid,2025-10-19 | 2025-10-23,$184.72 | $187.16,$185.71,$204.28,2.98%,1.52%,1.10%,$1188.40,10.0%,NO,Base,1.0x,$1000,4,64,1600%
DLTR,first_entry | pyramid,2025-11-08 | 2025-11-12,$105.81 | $105.98,$105.88,$104.75,1.42%,1.48%,-0.15%,$-127.77,-1.1%,NO,Base,1.0x,$1000,9,113,1256%
ISRG,pyramid,2025-10-23,$525.37,$525.37,$549.51,5.46%,1.46%,1.14%,$217.26,4.6%,NO,Base,1.0x,$1000,1,9,900%
MYRG,first_entry | pyramid,2025-09-25 | 2025-09-29,$187.02 | $201.24,$192.85,$229.44,2.21%,1.39%,1.37%,$2232.12,19.0%,NO,Base,1.0x,$1000,4,61,1525%
TER,first_entry | pyramid,2025-05-12 | 2025-05-16,$83.07 | $82.87,$82.99,$169.97,2.31%,1.36%,2.44%,$13047.00,104.8%,NO,Base,1.0x,$1000,5,150,3000%
COMM,first_entry | pyramid,2025-10-31 | 2025-11-12,$17.00 | $17.88,$17.36,$16.78,2.13%,1.28%,0.14%,$-404.80,-3.3%,NO,Base,1.0x,$1000,59,700,1186%
FRPT,first_entry,2025-10-23,$56.72,$56.72,$53.44,2.60%,1.25%,-0.11%,$-396.88,-5.8%,NO,Base,1.0x,$1000,18,121,672%
NBIX,first_entry,2025-11-08,$152.97,$152.97,$144.86,1.40%,1.24%,0.20%,$-364.95,-5.3%,NO,Base,1.0x,$1000,6,45,750%
UTHR,first_entry,2025-11-12,$455.97,$455.97,$466.40,1.17%,1.17%,1.26%,$156.45,2.3%,NO,Base,1.0x,$1000,2,15,750%
AMZN,first_entry | pyramid,2025-10-31 | 2025-11-04,$250.10 | $250.38,$250.21,$234.69,3.67%,1.15%,0.22%,$-775.82,-6.2%,NO,Base,1.0x,$1000,4,50,1250%
OLLI,pyramid,2025-11-12,$128.20,$128.20,$124.67,1.11%,1.11%,-0.46%,$-137.67,-2.8%,NO,Base,1.0x,$1000,8,39,488%
FBNC,first_entry,2025-11-12,$50.76,$50.76,$50.95,1.05%,1.05%,-0.65%,$26.03,0.4%,NO,Base,1.0x,$1000,19,137,721%
