symbol,entry_date,exit_date,entry_price,exit_price,size,pnl,pnl_pct,value,entry_type,status,hold_days,entry_slope_5p_0la
AAOI,2016-06-04,2016-06-12,10.94,10.19,638,-478.5,-6.855575868372944,6979.719999999999,first_entry,CLOSED,8,5.055986641783696
AAOI,2016-06-08,2016-06-12,11.33,10.19,438,-499.3200000000003,-10.061782877316864,4962.54,pyramid,CLOSED,4,3.1263373115876445
AAOI,2016-07-02,2016-10-14,11.07,20.03,623,5582.080000000001,80.93947606142729,6896.610000000001,first_entry,CLOSED,104,1.5824487599667334
AAOI,2016-07-14,2016-10-14,11.71,20.03,431,3585.92,71.05038428693425,5047.01,pyramid,CLOSED,92,2.819165798650408
AAOI,2016-11-11,2017-01-02,23.25,22.81,296,-130.24000000000038,-1.8924731182795755,6882.0,first_entry,CLOSED,52,4.646647980517386
AAOI,2016-11-15,2017-01-02,24.14,22.81,203,-269.99000000000035,-5.509527754763885,4900.42,pyramid,CLOSED,48,6.123638763612359
AAOI,2017-01-14,2017-04-08,28.89,42.38,248,3345.5200000000004,46.69435790931119,7164.72,first_entry,CLOSED,84,5.472304254130407
AAOI,2017-01-18,2017-04-08,30.49,42.38,164,1949.9600000000007,38.996392259757314,5000.36,pyramid,CLOSED,80,8.20761153860732
AAOI,2017-05-06,2017-06-27,57.15,61.79,125,580.0000000000001,8.118985126859144,7143.75,first_entry,CLOSED,52,6.443266004860229
AAOI,2017-05-10,2017-06-27,61.81,61.79,80,-1.60000000000025,-0.0323572237502072,4944.8,pyramid,CLOSED,48,7.6085463353877945
AAOI,2017-07-17,2017-08-06,85.77,67.47,83,-1518.9,-21.336131514515564,7118.91,first_entry,CLOSED,20,9.34233374743474
AAOI,2017-07-21,2017-08-06,90.48,67.47,56,-1288.5600000000004,-25.43103448275863,5066.88,pyramid,CLOSED,16,9.525439413819104
AAOI,2017-09-19,2017-09-27,67.25,64.67,105,-270.8999999999998,-3.836431226765797,7061.25,first_entry,CLOSED,8,3.4409004070105347
AAOI,2017-09-23,2017-09-27,62.94,64.67,78,134.9400000000003,2.7486495074674355,4909.32,pyramid,CLOSED,4,2.8114109004041374
AAOI,2017-10-01,2017-11-26,64.36,43.3,108,-2274.4800000000005,-32.72218769422002,6950.88,first_entry,CLOSED,56,-0.0722178374112203
AAOI,2017-11-22,2017-11-26,43.0,43.3,116,34.79999999999967,0.6976744186046445,4988.0,pyramid,CLOSED,4,0.8965205498504779
AAOI,2017-11-30,2017-12-08,43.3,40.52,161,-447.579999999999,-6.420323325635091,6971.299999999999,first_entry,CLOSED,8,-0.8305781791791096
