date,value,cash,positions,peak,dd,month,year
2017-04-03,1000000.0,990008.2,1,1000000.0,0.0,2017-04,2017
2017-04-04,1000318.4199999999,990008.2,1,1000318.4199999999,0.0,2017-04,2017
2017-04-05,1000516.0599999999,980008.36,2,1000516.0599999999,0.0,2017-04,2017
2017-04-06,1001556.76,980008.36,2,1001556.76,0.0,2017-04,2017
2017-04-07,1002208.4199999999,970013.2,3,1002208.4199999999,0.0,2017-04,2017
2017-04-10,1003471.63,970013.2,3,1003471.63,0.0,2017-04,2017
2017-04-11,1004710.0,970013.2,3,1004710.0,0.0,2017-04,2017
2017-04-12,1005194.6799999999,970013.2,3,1005194.6799999999,0.0,2017-04,2017
2017-04-13,1005667.12,970013.2,3,1005667.12,0.0,2017-04,2017
2017-04-17,1006010.95,960013.21,4,1006010.95,0.0,2017-04,2017
2017-04-18,1006458.07,950018.62,5,1006458.07,0.0,2017-04,2017
2017-04-19,1007025.4,950018.62,5,1007025.4,0.0,2017-04,2017
2017-04-20,1007121.92,930055.1000000001,7,1007121.92,0.0,2017-04,2017
2017-04-21,1007678.5000000001,920059.1600000001,8,1007678.5000000001,0.0,2017-04,2017
2017-04-24,1008978.9800000001,920059.1600000001,8,1008978.9800000001,0.0,2017-04,2017
2017-04-25,1009670.7600000001,920059.1600000001,8,1009670.7600000001,0.0,2017-04,2017
2017-04-26,1011088.5700000002,920059.1600000001,8,1011088.5700000002,0.0,2017-04,2017
2017-04-27,1011904.0200000001,890153.9100000001,11,1011904.0200000001,0.0,2017-04,2017
2017-04-28,1012740.3100000002,850317.1600000001,15,1012740.3100000002,0.0,2017-04,2017
2017-05-01,1014436.3500000001,840448.3600000001,16,1014436.3500000001,0.0,2017-05,2017
2017-05-02,1015740.2100000002,810519.5600000002,19,1015740.2100000002,0.0,2017-05,2017
2017-05-03,1017461.1600000003,789189.6000000002,21,1017461.1600000003,0.0,2017-05,2017
2017-05-04,1019515.1500000004,719505.2400000003,28,1019515.1500000004,0.0,2017-05,2017
2017-05-05,1023620.8600000003,639597.5900000003,36,1023620.8600000003,0.0,2017-05,2017
2017-05-08,1028276.3400000003,639597.5900000003,36,1028276.3400000003,0.0,2017-05,2017
2017-05-09,1032344.1500000004,629597.8900000004,37,1032344.1500000004,0.0,2017-05,2017
2017-05-10,1037028.4400000004,599602.0900000003,40,1037028.4400000004,0.0,2017-05,2017
2017-05-11,1040398.5400000003,612493.4500000003,39,1040398.5400000003,0.0,2017-05,2017
2017-05-12,1043869.7900000003,612493.4500000003,39,1043869.7900000003,0.0,2017-05,2017
2017-05-15,1046704.9800000003,602494.1000000003,40,1046704.9800000003,0.0,2017-05,2017
2017-05-16,1049162.3900000004,602494.1000000003,40,1049162.3900000004,0.0,2017-05,2017
2017-05-17,1046839.3800000004,602494.1000000003,40,1049162.3900000004,-0.2214156761757356,2017-05,2017
2017-05-18,1044295.7000000002,602494.1000000003,40,1049162.3900000004,-0.4638643213278142,2017-05,2017
2017-05-19,1039698.0900000005,602494.1000000003,40,1049162.3900000004,-0.9020815166658624,2017-05,2017
2017-05-22,1041199.5300000003,592550.4500000003,41,1049162.3900000004,-0.7589730699363041,2017-05,2017
2017-05-23,1040871.7600000002,592354.0300000003,41,1049162.3900000004,-0.7902141821915784,2017-05,2017
2017-05-24,1040702.6600000004,601581.1900000003,40,1049162.3900000004,-0.8063318015050062,2017-05,2017
2017-05-25,1042302.0800000003,591582.1900000003,41,1049162.3900000004,-0.6538844763583314,2017-05,2017
2017-05-26,1043170.8200000003,590704.7200000003,41,1049162.3900000004,-0.5710812794194865,2017-05,2017
2017-05-30,1045137.0000000002,590704.7200000003,41,1049162.3900000004,-0.3836765441048768,2017-05,2017
2017-05-31,1047414.4200000004,590704.7200000003,41,1049162.3900000004,-0.16660623909707356,2017-05,2017
2017-06-01,1050767.2100000004,580717.4200000003,42,1050767.2100000004,0.0,2017-06,2017
2017-06-02,1054822.1600000001,570730.1200000002,43,1054822.1600000001,0.0,2017-06,2017
2017-06-05,1058262.2100000004,560735.4900000002,44,1058262.2100000004,0.0,2017-06,2017
2017-06-06,1062158.3200000003,560735.4900000002,44,1062158.3200000003,0.0,2017-06,2017
2017-06-07,1060950.59,560735.4900000002,44,1062158.3200000003,-0.11370527135730706,2017-06,2017
2017-06-08,1063732.09,550739.9300000002,45,1063732.09,0.0,2017-06,2017
2017-06-09,1060833.82,550739.9300000002,45,1063732.09,-0.2724624016936462,2017-06,2017
2017-06-12,1058780.9100000001,560833.5100000001,44,1063732.09,-0.46545366512351194,2017-06,2017
2017-06-13,1057134.52,566666.3200000001,44,1063732.09,-0.6202285389359707,2017-06,2017
2017-06-14,1056764.9300000002,575984.3200000001,43,1063732.09,-0.6549731897248597,2017-06,2017
2017-06-15,1055851.9200000002,575984.3200000001,43,1063732.09,-0.7408040120327596,2017-06,2017
2017-06-16,1054204.33,585092.8,42,1063732.09,-0.8956916962051985,2017-06,2017
2017-06-19,1053673.99,585092.8,42,1063732.09,-0.9455482348003709,2017-06,2017
2017-06-20,1053331.2000000002,584665.4800000001,42,1063732.09,-0.9777734542162676,2017-06,2017
2017-06-21,1055812.06,583947.89,42,1063732.09,-0.7445511961569221,2017-06,2017
2017-06-22,1059299.13,583221.44,42,1063732.09,-0.41673651116421573,2017-06,2017
2017-06-23,1060503.79,563260.9299999999,44,1063732.09,-0.30348807094839514,2017-06,2017
2017-06-26,1068449.46,563260.9299999999,44,1068449.46,0.0,2017-06,2017
2017-06-27,1069874.5499999998,575092.6599999999,43,1069874.5499999998,0.0,2017-06,2017
2017-06-28,1072960.17,565106.2599999999,44,1072960.17,0.0,2017-06,2017
2017-06-29,1073715.0699999998,565106.2599999999,44,1073715.0699999998,0.0,2017-06,2017
2017-06-30,1073983.38,573471.4899999999,43,1073983.38,0.0,2017-06,2017
2017-07-03,1074683.0499999998,583709.8899999999,42,1074683.0499999998,0.0,2017-07,2017
2017-07-05,1074121.4699999997,595186.7199999999,41,1074683.0499999998,-0.05225540683833011,2017-07,2017
2017-07-06,1073504.4999999998,595186.7199999999,41,1074683.0499999998,-0.10966489143008691,2017-07,2017
2017-07-07,1072007.4,595186.7199999999,41,1074683.0499999998,-0.2489710803571255,2017-07,2017
2017-07-10,1071117.44,595186.7199999999,41,1074683.0499999998,-0.33178247298120783,2017-07,2017
2017-07-11,1070936.73,595186.7199999999,41,1074683.0499999998,-0.3485976632831264,2017-07,2017
2017-07-12,1071246.95,595186.7199999999,41,1074683.0499999998,-0.3197314780390238,2017-07,2017
2017-07-13,1071716.7099999997,595186.7199999999,41,1074683.0499999998,-0.27601998561344054,2017-07,2017
2017-07-14,1074089.2899999998,595186.7199999999,41,1074683.0499999998,-0.055249778062472416,2017-07,2017
2017-07-17,1076368.74,619895.0499999998,39,1076368.74,0.0,2017-07,2017
2017-07-18,1078557.4599999997,599900.0499999998,41,1078557.4599999997,0.0,2017-07,2017
2017-07-19,1081547.67,609038.4099999998,40,1081547.67,0.0,2017-07,2017
2017-07-20,1083631.27,619118.6499999998,39,1083631.27,0.0,2017-07,2017
2017-07-21,1085165.7799999998,619118.6499999998,39,1085165.7799999998,0.0,2017-07,2017
2017-07-24,1087055.9,609585.0799999998,40,1087055.9,0.0,2017-07,2017
2017-07-25,1087272.6700000002,643442.8099999999,37,1087272.6700000002,0.0,2017-07,2017
2017-07-26,1087188.99,644565.97,37,1087272.6700000002,-0.007696321475657769,2017-07,2017
2017-07-27,1084786.53,665036.7899999999,36,1087272.6700000002,-0.22865837324873897,2017-07,2017
2017-07-28,1076900.92,685617.6599999998,35,1087272.6700000002,-0.9539235452317799,2017-07,2017
2017-07-31,1085720.89,753743.6999999998,29,1087272.6700000002,-0.1427222483206775,2017-07,2017
2017-08-01,1087466.17,809923.5399999999,24,1087466.17,0.0,2017-08,2017
2017-08-02,1087839.21,809923.5399999999,24,1087839.21,0.0,2017-08,2017
2017-08-03,1088340.42,819119.9199999999,23,1088340.42,0.0,2017-08,2017
2017-08-04,1088619.4100000001,824326.51,23,1088619.4100000001,0.0,2017-08,2017
2017-08-07,1090541.18,833011.47,22,1090541.18,0.0,2017-08,2017
2017-08-08,1092471.96,843455.61,21,1092471.96,0.0,2017-08,2017
2017-08-09,1092924.06,852869.61,20,1092924.06,0.0,2017-08,2017
2017-08-10,1091636.47,861642.0599999999,19,1092924.06,-0.1178114790519008,2017-08,2017
2017-08-11,1090942.21,860623.7999999999,19,1092924.06,-0.1813346482645915,2017-08,2017
2017-08-14,1091308.74,860623.7999999999,19,1092924.06,-0.14779800894858744,2017-08,2017
2017-08-15,1090740.68,860623.7999999999,19,1092924.06,-0.19977417278196993,2017-08,2017
2017-08-16,1089575.69,860623.7999999999,19,1092924.06,-0.30636803805015617,2017-08,2017
2017-08-17,1087010.3499999999,860623.7999999999,19,1092924.06,-0.5410906591259593,2017-08,2017
2017-08-18,1085736.79,880318.48,17,1092924.06,-0.6576184259316258,2017-08,2017
2017-08-21,1083687.45,931660.7799999999,14,1092924.06,-0.8451282516371816,2017-08,2017
2017-08-22,1082610.95,921665.8599999999,15,1092924.06,-0.943625488490033,2017-08,2017
2017-08-23,1081810.21,931529.8599999999,14,1092924.06,-1.0168913291194352,2017-08,2017
2017-08-24,1081898.2199999997,921804.9599999998,15,1092924.06,-1.0088386195835342,2017-08,2017
2017-08-25,1083363.3499999999,921804.9599999998,15,1092924.06,-0.8747826450083087,2017-08,2017
2017-08-28,1084702.2399999998,922129.2899999998,15,1092924.06,-0.7522773357190341,2017-08,2017
2017-08-29,1086911.0399999998,922129.2899999998,15,1092924.06,-0.5501772922814282,2017-08,2017
2017-08-30,1088653.0199999998,922129.2899999998,15,1092924.06,-0.3907901890274307,2017-08,2017
2017-08-31,1090432.7899999998,922129.2899999998,15,1092924.06,-0.22794538899621727,2017-08,2017
2017-09-01,1092520.43,935294.4499999998,14,1092924.06,-0.036931202704067204,2017-09,2017
2017-09-05,1093583.3299999998,935294.4499999998,14,1093583.3299999998,0.0,2017-09,2017
2017-09-06,1094948.9899999998,915310.4099999998,16,1094948.9899999998,0.0,2017-09,2017
2017-09-07,1096730.7999999998,916607.9599999998,16,1096730.7999999998,0.0,2017-09,2017
2017-09-08,1098163.4699999997,906608.0899999999,17,1098163.4699999997,0.0,2017-09,2017
2017-09-11,1099603.1199999999,886619.7499999999,19,1099603.1199999999,0.0,2017-09,2017
2017-09-12,1100290.0399999998,886619.7499999999,19,1100290.0399999998,0.0,2017-09,2017
2017-09-13,1100533.71,885668.2699999999,19,1100533.71,0.0,2017-09,2017
2017-09-14,1100615.97,887420.1499999999,19,1100615.97,0.0,2017-09,2017
2017-09-15,1101490.4599999997,879270.8199999998,20,1101490.4599999997,0.0,2017-09,2017
2017-09-18,1103010.9899999998,859318.5999999999,22,1103010.9899999998,0.0,2017-09,2017
2017-09-19,1104408.8099999998,859318.5999999999,22,1104408.8099999998,0.0,2017-09,2017
2017-09-20,1105592.1999999997,859318.5999999999,22,1105592.1999999997,0.0,2017-09,2017
2017-09-21,1106285.72,849320.4999999999,23,1106285.72,0.0,2017-09,2017
2017-09-22,1107971.5199999998,839339.7499999999,24,1107971.5199999998,0.0,2017-09,2017
2017-09-25,1109684.9599999997,839306.4499999998,24,1109684.9599999997,0.0,2017-09,2017
2017-09-26,1111830.5599999998,819313.0799999998,26,1111830.5599999998,0.0,2017-09,2017
2017-09-27,1115608.7499999998,799323.8999999999,28,1115608.7499999998,0.0,2017-09,2017
2017-09-28,1120578.2899999998,799323.8999999999,28,1120578.2899999998,0.0,2017-09,2017
2017-09-29,1124772.18,799323.8999999999,28,1124772.18,0.0,2017-09,2017
2017-10-02,1130865.64,779341.94,30,1130865.64,0.0,2017-10,2017
2017-10-03,1138126.2000000002,759372.11,32,1138126.2000000002,0.0,2017-10,2017
2017-10-04,1144075.28,750077.63,33,1144075.28,0.0,2017-10,2017
2017-10-05,1151590.3199999998,750077.63,33,1151590.3199999998,0.0,2017-10,2017
2017-10-06,1156983.36,740524.27,34,1156983.36,0.0,2017-10,2017
2017-10-09,1161728.63,740524.27,34,1161728.63,0.0,2017-10,2017
2017-10-10,1163982.85,740524.27,34,1163982.85,0.0,2017-10,2017
2017-10-11,1166045.75,730524.91,35,1166045.75,0.0,2017-10,2017
2017-10-12,1166241.32,739027.39,34,1166241.32,0.0,2017-10,2017
2017-10-13,1164120.8800000001,750188.2000000001,33,1166241.32,-0.1818182878308534,2017-10,2017
2017-10-16,1161704.95,740194.5800000001,34,1166241.32,-0.38897352736568375,2017-10,2017
2017-10-17,1158485.12,755943.1400000001,33,1166241.32,-0.6650596121907216,2017-10,2017
2017-10-18,1156384.68,793146.6,30,1166241.32,-0.8451629890801785,2017-10,2017
2017-10-19,1154541.2,816131.88,28,1166241.32,-1.0032331901942997,2017-10,2017
2017-10-20,1154722.2999999998,838176.94,26,1166241.32,-0.9877046716197855,2017-10,2017
