symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days,exit_year
SVRA,2017-04-03,2017-05-03,9.1,7.87,1098,-1350.5399999999995,-13.516483516483513,trailing_stop,21,2017
PLUG,2017-04-05,2017-05-11,1.66,2.14,6024,2891.5200000000013,28.915662650602414,trailing_stop,25,2017
PPC,2017-04-21,2017-05-23,15.57,15.27,642,-192.60000000000045,-1.9267822736030893,trailing_stop,22,2017
NSIT,2017-05-04,2017-05-24,43.68,40.47,228,-731.8800000000002,-7.348901098901106,breakdown,14,2017
WING,2017-05-05,2017-05-26,15.35,14.01,651,-872.3399999999999,-8.729641693811075,breakdown,15,2017
BJRI,2017-04-20,2017-06-12,41.89,42.41,238,123.75999999999905,1.2413463833850447,breakdown,36,2017
CAMT,2017-05-09,2017-06-13,3.61,5.71,2770,5817.0,58.17174515235457,trailing_stop,24,2017
QMCO,2017-05-01,2017-06-14,164.48,155.3,60,-550.7999999999987,-5.581225680933843,trailing_stop,31,2017
VCEL,2017-05-26,2017-06-16,2.81,2.56,3558,-889.5,-8.896797153024917,breakdown,14,2017
MKSI,2017-04-27,2017-06-20,75.49,72.49,132,-396.0,-3.974036296198169,trailing_stop,37,2017
TATT,2017-05-15,2017-06-21,11.35,10.49,881,-757.6599999999995,-7.5770925110132055,breakdown,26,2017
TER,2017-04-27,2017-06-22,34.09,31.65,293,-714.9200000000014,-7.15752420064536,breakdown,39,2017
SSYS,2017-04-18,2017-06-27,21.87,25.89,457,1837.1399999999999,18.381344307270233,trailing_stop,49,2017
OMER,2017-06-22,2017-06-30,27.1,22.67,369,-1634.6699999999998,-16.346863468634687,trailing_stop,6,2017
MELI,2017-05-05,2017-07-03,248.35,255.96,40,304.40000000000055,3.0642238775921093,trailing_stop,40,2017
TSLA,2017-04-07,2017-07-05,20.44,23.47,489,1481.6699999999987,14.823874755381583,max_hold,60,2017
MAMA,2017-04-17,2017-07-17,0.77,1.04,12987,3506.4900000000002,35.064935064935064,max_hold,60,2017
SNBR,2017-04-20,2017-07-17,27.38,30.69,365,1208.1500000000008,12.089116143170209,max_hold,60,2017
ASTH,2017-05-10,2017-07-19,10.11,9.24,989,-860.4299999999993,-8.605341246290799,trailing_stop,21,2017
LOCO,2017-05-05,2017-07-20,11.54,11.64,866,86.60000000000123,0.8665511265164794,breakdown,52,2017
FWRD,2017-04-27,2017-07-24,51.3,53.79,194,483.0600000000004,4.853801169590644,max_hold,60,2017
ALGN,2017-04-28,2017-07-25,124.6,160.86,80,2900.8000000000015,29.10112359550563,max_hold,60,2017
GOOGL,2017-04-28,2017-07-25,45.11,49.99,221,1078.4800000000005,10.818000443360676,max_hold,60,2017
IDXX,2017-04-28,2017-07-25,165.02,169.15,60,247.79999999999973,2.5027269421888265,max_hold,60,2017
NTRA,2017-05-10,2017-07-25,9.83,9.58,1017,-254.25,-2.5432349949135347,trailing_stop,52,2017
GOOG,2017-04-28,2017-07-26,44.24,48.65,226,996.6599999999992,9.968354430379733,max_hold,60,2017
ANGI,2017-05-02,2017-07-27,70.05,125.14,142,7822.780000000001,78.64382583868665,max_hold,60,2017
SHOP,2017-05-02,2017-07-27,7.9,9.18,1265,1619.1999999999991,16.202531645569618,max_hold,60,2017
TRUE,2017-05-02,2017-07-27,17.9,19.72,558,1015.5600000000002,10.167597765363134,max_hold,60,2017
CG,2017-05-03,2017-07-28,17.89,20.66,558,1545.6599999999999,15.483510340972618,max_hold,60,2017
FSLR,2017-05-03,2017-07-28,31.05,47.38,322,5258.26,52.59259259259259,max_hold,60,2017
LNTH,2017-05-03,2017-07-28,13.78,19.36,725,4045.5,40.49346879535558,max_hold,60,2017
NVAX,2017-07-18,2017-07-28,24.75,23.78,404,-391.87999999999954,-3.919191919191911,trailing_stop,8,2017
BRKR,2017-05-04,2017-07-31,25.23,28.41,396,1259.28,12.604042806183124,max_hold,60,2017
RAIL,2017-05-04,2017-07-31,13.88,16.44,720,1843.2000000000003,18.443804034582143,max_hold,60,2017
REGN,2017-05-04,2017-07-31,408.16,511.0,24,2468.1599999999994,25.196001568012537,max_hold,60,2017
TTEK,2017-05-04,2017-07-31,9.08,9.46,1101,418.38000000000085,4.185022026431717,max_hold,60,2017
Z,2017-05-04,2017-07-31,40.56,45.08,246,1111.919999999999,11.143984220907278,max_hold,60,2017
ZG,2017-05-04,2017-07-31,40.04,45.26,249,1299.7799999999997,13.036963036963044,max_hold,60,2017
AAPL,2017-05-05,2017-08-01,37.03,37.77,270,199.80000000000052,1.9983796921415165,max_hold,60,2017
AGYS,2017-05-05,2017-08-01,10.14,10.09,986,-49.3000000000007,-0.4930966469428033,max_hold,60,2017
ATRC,2017-05-05,2017-08-01,21.83,23.14,458,599.980000000001,6.0009161704077,max_hold,60,2017
FRPT,2017-05-05,2017-08-01,12.43,17.38,804,3979.7999999999993,39.82300884955752,max_hold,60,2017
VRNS,2017-05-05,2017-08-01,10.94,12.54,914,1462.3999999999996,14.625228519195609,max_hold,60,2017
MTSI,2017-05-22,2017-08-03,58.15,53.78,171,-747.2699999999995,-7.515047291487531,trailing_stop,51,2017
NVDA,2017-05-10,2017-08-04,2.71,4.12,3690,5202.900000000001,52.02952029520296,max_hold,60,2017
AAOI,2017-07-24,2017-08-07,97.03,84.32,103,-1309.1300000000008,-13.09904153354633,trailing_stop,10,2017
PANW,2017-06-01,2017-08-08,20.55,21.49,486,456.8399999999989,4.574209245742078,breakdown,47,2017
STKL,2017-05-23,2017-08-09,9.56,9.0,1046,-585.7600000000006,-5.857740585774063,breakdown,54,2017
LOGI,2017-07-24,2017-08-10,39.74,34.95,251,-1202.2899999999997,-12.053346753900351,breakdown,13,2017
ENSG,2017-06-23,2017-08-11,21.59,19.38,463,-1023.2300000000004,-10.236220472440948,trailing_stop,34,2017
TRI,2017-06-23,2017-08-18,44.09,43.18,226,-205.66000000000082,-2.0639600816511727,breakdown,39,2017
NFLX,2017-07-18,2017-08-18,16.66,16.56,600,-60.00000000000085,-0.6002400960384291,breakdown,23,2017
LITS,2017-05-25,2017-08-21,33.0,51.46,303,5593.38,55.93939393939393,trailing_stop,60,2017
DVAX,2017-06-05,2017-08-21,6.01,16.14,1663,16846.190000000002,168.55241264559072,trailing_stop,53,2017
FCEL,2017-07-26,2017-08-21,548.43,494.95,18,-962.6399999999993,-9.751472384807535,trailing_stop,18,2017
LAKE,2017-06-28,2017-08-23,13.87,13.7,720,-122.39999999999995,-1.2256669069935056,trailing_stop,39,2017
GPRO,2017-08-04,2017-08-24,8.61,8.85,1161,278.64000000000027,2.7874564459930307,trailing_stop,14,2017
AVGO,2017-06-02,2017-08-28,24.3,25.12,411,337.0200000000001,3.3744855967078102,max_hold,60,2017
OPCH,2017-06-08,2017-09-01,8.83,11.63,1132,3169.600000000001,31.7100792751982,max_hold,60,2017
SAIA,2017-06-13,2017-09-07,51.73,58.51,193,1308.5400000000002,13.106514595012575,max_hold,60,2017
CRMD,2017-08-28,2017-09-13,2.31,2.09,4329,-952.3800000000008,-9.523809523809534,trailing_stop,11,2017
RUN,2017-06-20,2017-09-14,5.95,6.95,1680,1680.0,16.806722689075638,max_hold,60,2017
LGND,2017-06-21,2017-09-15,73.23,86.6,136,1818.3199999999988,18.25754472210841,max_hold,60,2017
META,2017-07-27,2017-09-25,168.94,168.86,59,-4.719999999999061,-0.04735409020952819,breakdown,41,2017
POET,2017-09-08,2017-10-06,2.57,2.68,3891,428.01000000000124,4.280155642023353,trailing_stop,20,2017
FIZZ,2017-09-11,2017-10-12,50.97,43.38,196,-1487.6399999999992,-14.89111241907003,trailing_stop,23,2017
MTRX,2017-09-06,2017-10-13,12.39,13.83,807,1162.0799999999997,11.622276029055678,breakdown,27,2017
ATXS,2017-09-14,2017-10-17,91.89,145.82,108,5824.44,58.68973772989443,trailing_stop,23,2017
ASML,2017-07-25,2017-10-18,155.48,174.97,64,1247.3600000000006,12.535374324671999,max_hold,60,2017
ARWR,2017-08-24,2017-10-18,2.31,3.86,4329,6709.949999999999,67.09956709956708,trailing_stop,38,2017
ENPH,2017-09-15,2017-10-18,1.42,1.32,7042,-704.199999999999,-7.042253521126751,breakdown,23,2017
IOVA,2017-09-07,2017-10-19,6.79,7.17,1472,559.3599999999999,5.596465390279826,trailing_stop,30,2017
TARA,2017-09-27,2017-10-19,72.46,90.08,138,2431.5600000000004,24.316864476952805,trailing_stop,16,2017
TREE,2017-07-27,2017-10-20,195.06,230.23,51,1793.6699999999994,18.030349636009426,max_hold,60,2017
ONCY,2017-09-11,2017-10-20,4.26,4.39,2347,305.10999999999973,3.0516431924882514,trailing_stop,29,2017
ALGN,2017-07-28,2017-10-23,164.34,200.28,60,2156.3999999999996,21.86929536327127,max_hold,60,2017
ARCB,2017-07-28,2017-10-23,23.07,31.02,433,3442.35,34.46033810143043,max_hold,60,2017
FSLR,2017-07-28,2017-10-23,47.38,47.69,211,65.40999999999897,0.6542845082313065,max_hold,60,2017
CRMD,2017-10-02,2017-10-23,2.79,3.02,3584,824.3199999999999,8.24372759856631,trailing_stop,15,2017
PTEN,2017-09-18,2017-10-25,18.87,18.2,529,-354.4300000000009,-3.5506094329623816,breakdown,27,2017
VICR,2017-09-27,2017-10-31,21.3,21.45,469,70.34999999999934,0.7042253521126751,trailing_stop,24,2017
VKTX,2017-10-06,2017-11-03,2.06,2.41,4854,1698.9000000000003,16.990291262135937,trailing_stop,20,2017
STAA,2017-08-11,2017-11-06,11.04,13.27,905,2018.1500000000003,20.199275362318847,max_hold,60,2017
ATEC,2017-09-13,2017-11-06,2.41,3.59,4149,4895.819999999999,48.96265560165973,trailing_stop,38,2017
RDNT,2017-08-22,2017-11-14,8.94,9.88,1118,1050.9200000000014,10.514541387024634,trailing_stop,59,2017
FCEL,2017-10-04,2017-11-15,714.96,650.06,13,-843.7000000000012,-9.07743090522548,trailing_stop,30,2017
VNET,2017-09-26,2017-11-16,6.46,6.98,1547,804.4400000000007,8.049535603715174,trailing_stop,37,2017
CDNA,2017-08-24,2017-11-17,2.39,5.86,4184,14518.480000000001,145.18828451882845,max_hold,60,2017
NBIX,2017-11-02,2017-11-28,64.18,70.19,155,931.5499999999986,9.364287940168259,breakdown,17,2017
UFPI,2017-09-06,2017-11-30,29.63,38.75,337,3073.4400000000005,30.779615254809322,max_hold,60,2017
XNET,2017-11-01,2017-11-30,10.19,19.79,981,9417.6,94.21000981354268,trailing_stop,20,2017
MKSI,2017-09-18,2017-12-06,88.23,91.01,113,314.1400000000001,3.1508557180097485,trailing_stop,56,2017
COHR,2017-10-31,2017-12-07,45.12,43.33,221,-395.5899999999998,-3.967198581560283,trailing_stop,26,2017
DGII,2017-09-26,2017-12-08,10.05,9.64,995,-407.95000000000016,-4.079601990049753,trailing_stop,52,2017
KLAC,2017-09-15,2017-12-11,98.29,102.9,101,465.60999999999996,4.6902024621019445,max_hold,60,2017
RIGL,2017-10-02,2017-12-13,26.27,36.33,380,3822.7999999999997,38.29463266082984,trailing_stop,51,2017
