date,value,cash,positions,invested,peak,dd,year
2017-04-01,1000000.0000000002,341197.0600000003,66,658802.94,1000000.0000000002,0.0,2017
2017-05-01,1039553.0100000002,251397.6800000003,75,788155.33,1039553.0100000002,0.0,2017
2017-06-01,1049771.7400000005,199181.0500000003,79,850590.6900000001,1049771.7400000005,0.0,2017
2017-07-01,1043717.3400000004,168935.0500000003,81,874782.2900000002,1049771.7400000005,-0.5767349004841776,2017
2017-08-01,1078699.3100000005,154072.9100000003,82,924626.4000000001,1078699.3100000005,0.0,2017
2017-09-01,1041404.4800000001,120661.93000000027,84,920742.5499999998,1078699.3100000005,-3.4573888806882067,2017
2017-10-01,1091571.63,106323.60000000025,85,985248.0299999997,1091571.63,0.0,2017
2017-11-01,1120667.1900000002,104114.47000000026,84,1016552.72,1120667.1900000002,0.0,2017
2017-12-01,1161152.0400000005,104449.89000000029,83,1056702.1500000001,1161152.0400000005,0.0,2017
2018-01-01,1183130.9000000006,90072.30000000028,84,1093058.6000000003,1183130.9000000006,0.0,2018
2018-02-01,1297518.4000000004,125479.2000000003,80,1172039.2000000002,1297518.4000000004,0.0,2018
2018-03-01,1289494.430000001,103624.12000000033,82,1185870.3100000008,1297518.4000000004,-0.6184089566667627,2018
2018-04-01,1240539.3700000003,56777.8900000003,86,1183761.48,1297518.4000000004,-4.391385124095351,2018
2018-05-01,1276557.25,42773.770000000324,87,1233783.4799999997,1297518.4000000004,-1.6154799808619569,2018
2018-06-01,1432060.4500000004,48366.040000000336,87,1383694.4100000001,1432060.4500000004,0.0,2018
2018-07-01,1449359.5499999996,87084.80000000032,84,1362274.7499999993,1449359.5499999996,0.0,2018
2018-08-01,1474247.8700000006,102673.8100000003,83,1371574.0600000003,1474247.8700000006,0.0,2018
2018-09-01,1597002.1600000008,116948.24000000028,82,1480053.9200000006,1597002.1600000008,0.0,2018
2018-10-01,1613513.84,157170.32000000024,79,1456343.5199999998,1613513.84,0.0,2018
2018-11-01,1369836.7999999993,111744.64000000022,83,1258092.1599999992,1613513.84,-15.102259054685316,2018
2018-12-01,1374665.4900000002,128633.07000000024,84,1246032.42,1613513.84,-14.802993570851541,2018
2019-01-01,1198573.6500000001,114519.91000000024,84,1084053.74,1613513.84,-25.7165559856617,2019
2019-02-01,1402090.9700000007,74555.35000000022,88,1327535.6200000003,1613513.84,-13.10325729836934,2019
2019-03-01,1520596.010000001,120062.26000000026,83,1400533.7500000007,1613513.84,-5.758725317162395,2019
2019-04-01,1516470.3100000008,90584.46000000028,85,1425885.8500000006,1613513.84,-6.014421915339711,2019
2019-05-01,1562712.7300000011,83342.52000000028,85,1479370.210000001,1613513.84,-3.148476867108802,2019
2019-06-01,1581618.01,79874.30000000028,87,1501743.7099999997,1613513.84,-1.976793084092794,2019
2019-07-01,1647287.48,97055.18000000027,87,1550232.2999999998,1647287.48,0.0,2019
2019-08-01,1708128.2900000005,129479.74000000025,86,1578648.5500000003,1708128.2900000005,0.0,2019
2019-09-01,1647419.5999999999,187031.24000000022,84,1460388.3599999996,1708128.2900000005,-3.5541059975068165,2019
2019-10-01,1530639.8499999996,238262.12000000017,81,1292377.7299999995,1708128.2900000005,-10.390814380809818,2019
2019-11-01,1577451.75,256097.65000000023,84,1321354.0999999999,1708128.2900000005,-7.650276666280169,2019
2019-12-01,1660010.1200000003,256014.92000000016,83,1403995.2000000002,1708128.2900000005,-2.8170114786870104,2019
2020-01-01,1745926.35,225705.11000000016,87,1520221.24,1745926.35,0.0,2020
2020-02-01,1822632.1700000009,236712.52000000025,86,1585919.6500000006,1822632.1700000009,0.0,2020
2020-03-01,1810061.6399999994,246785.27000000034,89,1563276.3699999992,1822632.1700000009,-0.6896909978276867,2020
2020-04-01,1473275.0800000003,300692.4800000003,77,1172582.6,1822632.1700000009,-19.167723238419544,2020
2020-05-01,1729175.0800000005,237238.3900000004,83,1491936.6900000002,1822632.1700000009,-5.1275891832854175,2020
2020-06-01,1903013.5499999996,177523.3000000003,89,1725490.2499999993,1903013.5499999996,0.0,2020
2020-07-01,2025216.6900000002,190390.93000000043,88,1834825.7599999998,2025216.6900000002,0.0,2020
2020-08-01,2115419.5300000007,204357.96000000043,90,1911061.5700000003,2115419.5300000007,0.0,2020
2020-09-01,2296683.9300000006,258680.6600000004,87,2038003.27,2296683.9300000006,0.0,2020
2020-10-01,2246933.0300000007,230637.80000000042,91,2016295.2300000002,2296683.9300000006,-2.166205778258739,2020
2020-11-01,2300154.75,249805.39000000036,89,2050349.3599999999,2300154.75,0.0,2020
2020-12-01,2695154.55,396951.99000000034,90,2298202.5599999996,2695154.55,0.0,2020
2021-01-01,3188813.830000001,440162.2400000003,88,2748651.590000001,3188813.830000001,0.0,2021
2021-02-01,3497509.659999999,482106.39000000025,90,3015403.269999999,3497509.659999999,0.0,2021
2021-03-01,3631085.3200000003,617956.3300000003,87,3013128.9899999998,3631085.3200000003,0.0,2021
2021-04-01,3246803.3900000006,638771.8100000003,88,2608031.58,3631085.3200000003,-10.583114857791324,2021
2021-05-01,3745291.67,704997.4600000003,87,3040294.2099999995,3745291.67,0.0,2021
2021-06-01,3477156.2800000003,713075.9600000003,90,2764080.32,3745291.67,-7.159265916397898,2021
2021-07-01,3970168.0900000017,712278.8400000003,89,3257889.2500000014,3970168.0900000017,0.0,2021
2021-08-01,3665004.400000002,731141.3000000003,89,2933863.1000000015,3970168.0900000017,-7.686417377859682,2021
2021-09-01,3833210.9600000014,896850.1500000003,85,2936360.810000001,3970168.0900000017,-3.449655704627869,2021
2021-10-01,3793755.3899999997,905560.1900000002,88,2888195.1999999993,3970168.0900000017,-4.443456700091556,2021
2021-11-01,4887845.640000001,1253477.5799999998,87,3634368.0600000005,4887845.640000001,0.0,2021
2021-12-01,4363941.51,1323445.1299999997,80,3040496.38,4887845.640000001,-10.7185080828371,2021
2022-01-01,4444739.969999998,1401956.2099999995,77,3042783.7599999984,4887845.640000001,-9.065459563080692,2022
2022-02-01,3233201.6899999995,1393985.3800000004,78,1839216.3099999991,4887845.640000001,-33.852213671788554,2022
2022-03-01,3421706.2099999995,1437393.4900000002,79,1984312.7199999993,4887845.640000001,-29.995616432764454,2022
2022-04-01,3943854.290000001,1416627.2500000002,80,2527227.040000001,4887845.640000001,-19.31303522097313,2022
