symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct
MYRG,2017-04-01,2017-06-01,40.09,28.94,249,-2776.3500000000004,-27.81242205038663
PDFS,2017-04-01,2017-06-01,22.6,16.18,442,-2837.640000000001,-28.407079646017706
COHR,2017-04-01,2017-06-01,38.93,30.72,256,-2101.76,-21.089134343693814
GPRE,2017-04-01,2017-06-01,23.82,21.17,419,-1110.3499999999995,-11.125104953820308
KRNT,2017-04-01,2017-06-01,19.13,16.24,522,-1508.5800000000004,-15.107161526398327
CECO,2017-05-01,2017-06-01,11.56,9.39,865,-1877.05,-18.771626297577846
LFMD,2017-04-01,2017-07-01,2.45,1.4,4081,-4285.050000000001,-42.85714285714286
ONCY,2017-05-01,2017-07-01,5.84,3.39,1712,-4194.4,-41.95205479452054
TATT,2017-06-01,2017-07-01,12.38,10.04,807,-1888.3800000000012,-18.901453957996782
FATE,2017-04-01,2017-08-01,4.58,2.77,2183,-3951.23,-39.519650655021834
NSSC,2017-04-01,2017-08-01,5.1,4.63,1960,-921.1999999999995,-9.215686274509805
VECO,2017-04-01,2017-09-01,29.65,19.19,337,-3525.019999999999,-35.27824620573355
VSA,2017-04-01,2017-09-01,94.04,61.85,106,-3412.1400000000003,-34.230114844746915
SNBR,2017-05-01,2017-09-01,33.16,29.44,301,-1119.7199999999987,-11.218335343787677
QMCO,2017-05-01,2017-09-01,164.48,104.13,60,-3620.9999999999995,-36.691391050583654
KRNT,2017-07-01,2017-09-01,19.77,16.6,505,-1600.849999999999,-16.034395548811318
STLD,2017-04-01,2017-10-01,34.18,34.02,292,-46.719999999999004,-0.4681100058513632
CRUS,2017-04-01,2017-10-01,61.32,51.85,163,-1543.61,-15.44357469015003
NGNE,2017-04-01,2017-10-01,326.49,279.7,30,-1403.7000000000007,-14.331219945480722
TSLA,2017-07-01,2017-10-01,24.46,22.69,408,-722.1599999999999,-7.236304170073593
OMER,2017-07-01,2017-10-01,22.67,21.38,441,-568.8900000000012,-5.690339655932963
ALTS,2017-09-01,2017-10-01,7.76,5.06,1288,-3477.6000000000004,-34.79381443298969
VCEL,2017-09-01,2017-10-01,4.14,5.61,2415,3550.0500000000015,35.50724637681162
MMYT,2017-04-01,2017-11-01,35.48,24.58,281,-3062.8999999999996,-30.721533258173615
IDN,2017-04-01,2017-11-01,2.27,2.23,4405,-176.20000000000016,-1.7621145374449365
SSRM,2017-04-01,2017-11-01,10.58,9.57,945,-954.4499999999998,-9.546313799621931
SMMT,2017-04-01,2017-11-01,13.09,9.55,763,-2701.0199999999995,-27.043544690603504
ARLP,2017-04-01,2017-11-01,21.35,19.71,468,-767.5200000000002,-7.681498829039812
ISSC,2017-06-01,2017-11-01,2.93,2.07,3412,-2934.320000000001,-29.35153583617749
ZG,2017-06-01,2017-11-01,43.98,40.76,227,-730.9399999999997,-7.321509777171443
SYPR,2017-07-01,2017-11-01,1.67,1.4,5988,-1616.7600000000002,-16.167664670658688
RGLD,2017-08-01,2017-11-01,87.69,83.8,114,-443.46000000000004,-4.436081651271529
LFMD,2017-08-01,2017-11-01,1.99,2.19,5025,1004.9999999999998,10.050251256281406
CRNT,2017-04-01,2017-12-01,3.28,1.89,3048,-4236.719999999999,-42.37804878048781
CYTK,2017-04-01,2017-12-01,12.52,7.2,798,-4245.36,-42.49201277955271
Z,2017-05-01,2017-12-01,39.66,42.04,252,599.7600000000007,6.001008572869404
TVTX,2017-10-01,2017-12-01,24.02,21.91,416,-877.7599999999998,-8.784346378018315
CAR,2017-11-01,2017-12-01,31.24,28.41,320,-905.5999999999995,-9.058898847631236
TRUE,2017-04-01,2018-01-01,15.69,11.17,637,-2879.24,-28.808158062460166
EHTH,2017-06-01,2018-01-01,18.35,17.54,544,-440.64000000000124,-4.41416893732971
LITS,2017-06-01,2018-01-01,40.63,38.33,246,-565.8000000000011,-5.6608417425547675
LFMD,2017-12-01,2018-01-01,2.03,1.93,4926,-492.59999999999934,-4.92610837438423
BLBD,2017-04-01,2018-02-01,17.17,21.36,582,2438.5799999999986,24.403028538147908
AMKR,2017-04-01,2018-02-01,10.85,9.68,921,-1077.57,-10.78341013824885
CRESY,2017-04-01,2018-02-01,18.13,19.33,551,661.1999999999996,6.6188637617208945
STKL,2017-06-01,2018-02-01,9.69,7.47,1031,-2288.8199999999997,-22.910216718266252
AVGO,2017-09-01,2018-02-01,24.79,24.13,403,-265.9800000000001,-2.6623638563937124
FTAI,2017-10-01,2018-02-01,15.41,15.23,648,-116.63999999999982,-1.1680726800778696
LAKE,2017-11-01,2018-02-01,15.66,14.07,638,-1014.42,-10.15325670498084
IDN,2018-01-01,2018-02-01,2.58,2.32,3875,-1007.5000000000009,-10.077519379844968
OMER,2018-01-01,2018-02-01,19.92,16.16,502,-1887.520000000001,-18.87550200803213
WLDN,2017-04-01,2018-03-01,30.49,21.45,327,-2956.08,-29.649065267300756
PATK,2017-10-01,2018-03-01,37.35,41.42,267,1086.69,10.896921017402939
AAOI,2017-04-01,2018-04-01,58.61,23.63,170,-5946.6,-59.6826480122846
STRL,2017-04-01,2018-04-01,9.14,10.86,1094,1881.6799999999987,18.818380743982477
MASI,2017-04-01,2018-04-01,92.9,85.55,107,-786.450000000001,-7.91173304628634
MMYT,2017-12-01,2018-04-01,29.91,33.25,334,1115.56,11.166833834837853
EHTH,2018-02-01,2018-04-01,18.14,14.15,551,-2198.4900000000002,-21.99558985667034
SMMT,2018-02-01,2018-04-01,14.26,12.93,701,-932.33,-9.326788218793824
CASH,2017-04-01,2018-05-01,28.85,36.27,346,2567.3200000000006,25.71923743500868
AMD,2017-04-01,2018-05-01,13.97,10.84,715,-2237.9500000000007,-22.405153901216902
TER,2017-05-01,2018-05-01,35.44,32.69,282,-775.5,-7.759593679458243
COHR,2017-10-01,2018-05-01,41.22,38.68,242,-614.6799999999998,-6.162057253760311
SMH,2017-11-01,2018-05-01,50.53,48.04,197,-490.53000000000037,-4.927765683752227
NVAX,2018-04-01,2018-05-01,40.83,30.71,244,-2469.2799999999993,-24.785696791574818
SLM,2017-04-01,2018-06-01,11.99,11.48,834,-425.3399999999998,-4.253544620517092
TSEM,2017-04-01,2018-06-01,23.18,25.91,431,1176.63,11.777394305435717
RUSHA,2017-04-01,2018-06-01,14.21,19.31,703,3585.2999999999984,35.890218156227995
CDZI,2017-04-01,2018-06-01,14.81,12.6,675,-1491.7500000000007,-14.922349763673203
EWBC,2017-05-01,2018-06-01,56.63,70.43,176,2428.8000000000006,24.368709164753668
MRVL,2017-06-01,2018-06-01,17.62,22.03,567,2500.4700000000003,25.028376844494883
MAMA,2018-01-01,2018-06-01,1.3,0.91,7692,-2999.88,-30.000000000000004
STLD,2018-03-01,2018-06-01,48.56,49.64,205,221.39999999999964,2.224052718286651
SVRA,2018-04-01,2018-06-01,9.34,9.81,1070,502.90000000000066,5.032119914346911
SKYW,2017-04-01,2018-07-01,34.06,52.18,293,5309.159999999999,53.200234879624176
AMAT,2017-04-01,2018-07-01,38.91,45.37,257,1660.2200000000003,16.602415831405803
BBSI,2017-10-01,2018-07-01,14.1,23.16,709,6423.54,64.25531914893618
FBNC,2017-10-01,2018-07-01,34.28,41.49,291,2098.11,21.03267211201867
SOXX,2017-11-01,2018-07-01,57.24,59.08,174,320.15999999999934,3.2145352900069923
APLD,2018-06-01,2018-07-01,0.24,0.07,41666,-7083.219999999999,-70.83333333333333
MKSI,2017-04-01,2018-08-01,68.38,93.27,146,3633.94,36.39953202690847
CENX,2017-06-01,2018-08-01,14.92,12.62,670,-1541.0000000000005,-15.415549597855238
ARCB,2017-11-01,2018-08-01,32.89,45.7,304,3894.2400000000007,38.94800851322591
MEOH,2018-01-01,2018-08-01,61.58,68.37,162,1099.980000000001,11.026307242611244
TARA,2018-07-01,2018-08-01,100.34,86.09,99,-1410.75,-14.201714171815826
EXTR,2017-04-01,2018-09-01,6.91,6.27,1447,-926.0800000000008,-9.261939218523885
LNTH,2017-04-01,2018-09-01,12.17,15.65,821,2857.0800000000004,28.594905505341007
ON,2017-04-01,2018-09-01,15.23,21.48,656,4100.0,41.03742613263297
LRCX,2017-04-01,2018-09-01,12.88,17.31,776,3437.6799999999985,34.394409937888184
AUPH,2017-04-01,2018-09-01,7.42,5.63,1347,-2411.13,-24.123989218328845
ONCY,2018-02-01,2018-09-01,5.66,4.07,1766,-2807.9399999999996,-28.091872791519435
NVMI,2017-04-01,2018-10-01,18.35,26.23,544,4286.719999999999,42.94277929155312
FIZZ,2017-04-01,2018-10-01,31.08,44.87,321,4426.59,44.36936936936937
LOGI,2017-04-01,2018-10-01,31.9,44.56,313,3962.5800000000013,39.68652037617557
MPWR,2017-11-01,2018-10-01,120.12,124.71,83,380.9699999999991,3.8211788211788056
ASML,2017-11-01,2018-10-01,180.1,192.11,55,660.5500000000011,6.668517490283188
APEI,2018-04-01,2018-10-01,41.84,32.13,239,-2320.69,-23.2074569789675
SYPR,2018-07-01,2018-10-01,1.64,1.39,6097,-1524.25,-15.243902439024392
OMER,2018-08-01,2018-10-01,21.26,21.93,470,314.8999999999991,3.1514581373471184
PLUG,2018-08-01,2018-10-01,1.93,1.96,5181,155.43000000000015,1.5544041450777257
WIX,2017-04-01,2018-11-01,66.03,94.52,151,4301.989999999999,43.1470543692261
FSLR,2018-04-01,2018-11-01,72.09,39.17,138,-4542.96,-45.66514079622694
UPBD,2018-08-01,2018-11-01,14.76,14.03,677,-494.21000000000026,-4.945799457994582
EYPT,2018-10-01,2018-11-01,35.98,19.19,277,-4650.829999999999,-46.664813785436344
MELI,2017-04-01,2018-12-01,211.67,340.75,47,6066.76,60.98171682335711
NVDA,2017-04-01,2018-12-01,2.74,3.6,3649,3138.1399999999994,31.386861313868607
SAIA,2017-04-01,2018-12-01,43.36,59.69,230,3755.8999999999996,37.66143911439115
IDXX,2017-04-01,2018-12-01,154.62,198.65,64,2817.92,28.4762643901177
CAMT,2017-04-01,2018-12-01,3.27,7.88,3058,14097.379999999997,140.97859327217125
BJRI,2018-09-01,2018-12-01,75.75,53.6,132,-2923.7999999999997,-29.240924092409237
TQQQ,2017-04-01,2019-01-01,3.62,4.09,2762,1298.1399999999994,12.983425414364635
AXGN,2017-04-01,2019-01-01,10.26,15.94,974,5532.32,55.36062378167641
TRUP,2017-05-01,2019-01-01,16.1,23.86,621,4818.959999999999,48.19875776397513
XNET,2017-12-01,2019-01-01,18.88,3.3,529,-8241.82,-82.52118644067797
DVAX,2018-04-01,2019-01-01,19.96,8.12,501,-5931.840000000001,-59.318637274549104
LGND,2018-06-01,2019-01-01,120.27,82.34,83,-3148.1899999999996,-31.53737424129043
LITS,2018-06-01,2019-01-01,64.97,41.0,153,-3667.41,-36.89395105433276
NTRA,2018-08-01,2019-01-01,23.29,12.16,429,-4774.7699999999995,-47.788750536711035
IBKR,2018-02-01,2019-03-01,16.25,14.22,615,-1248.4499999999996,-12.49230769230769
LRMR,2018-02-01,2019-03-01,78.0,56.88,128,-2703.3599999999997,-27.076923076923077
ANGI,2018-05-01,2019-03-01,134.36,162.7,74,2097.159999999998,21.092587079487913
OPCH,2018-06-01,2019-03-01,10.45,12.98,956,2418.680000000001,24.210526315789483
ARCB,2018-10-01,2019-03-01,48.26,35.65,207,-2610.27,-26.12929962702031
NVAX,2018-11-01,2019-03-01,34.4,26.69,290,-2235.899999999999,-22.41279069767441
SVRA,2018-12-01,2019-03-01,8.6,6.89,1162,-1987.02,-19.883720930232563
NTRA,2019-02-01,2019-03-01,13.97,16.51,715,1816.1000000000006,18.181818181818187
RDNT,2017-09-01,2019-04-01,10.6,11.86,943,1188.1799999999998,11.886792452830196
IOVA,2018-03-01,2019-04-01,18.43,9.41,542,-4888.84,-48.94194248507867
ATRC,2018-09-01,2019-04-01,35.05,26.79,285,-2354.0999999999995,-23.566333808844508
SKYW,2018-12-01,2019-04-01,55.57,54.04,179,-273.87000000000023,-2.7532841461220148
TARA,2019-01-01,2019-04-01,82.55,55.96,121,-3217.3899999999994,-32.21078134463961
NBIX,2018-05-01,2019-05-01,82.43,73.71,121,-1055.1200000000015,-10.57867281329614
VNET,2018-10-01,2019-05-01,10.41,8.0,960,-2313.6000000000004,-23.150816522574445
SSSS,2018-11-01,2019-05-01,7.05,6.58,1418,-666.4599999999997,-6.666666666666665
SNBR,2019-04-01,2019-05-01,46.83,31.9,213,-3180.09,-31.88127268844758
ALGN,2017-04-01,2019-06-01,115.19,296.13,86,15560.84,157.07960760482683
MMSI,2017-06-01,2019-06-01,35.42,51.98,282,4669.919999999998,46.75324675324675
ISRG,2017-09-01,2019-06-01,110.93,156.85,90,4132.799999999999,41.39547462363651
ALNT,2018-04-01,2019-06-01,27.19,22.72,367,-1640.490000000001,-16.439867598381763
MTRX,2018-11-01,2019-06-01,19.93,18.41,501,-761.5199999999998,-7.62669342699448
APEI,2019-03-01,2019-06-01,33.33,29.1,300,-1268.999999999999,-12.691269126912685
TQQQ,2019-04-01,2019-06-01,7.15,6.51,1398,-894.7200000000008,-8.951048951048957
QCOM,2019-05-01,2019-06-01,94.12,62.33,106,-3369.7400000000007,-33.77603059923503
ASTH,2017-04-01,2019-07-01,8.92,16.34,1121,8317.82,83.18385650224216
TREE,2017-07-01,2019-07-01,180.08,421.52,55,13279.199999999999,134.07374500222122
