date,value,cash,positions,invested,peak,dd,year
2017-04-01,999999.9999999999,470737.91000000003,53,529262.0899999999,999999.9999999999,0.0,2017
2017-05-01,1030079.8999999999,367863.34,63,662216.5599999999,1030079.8999999999,0.0,2017
2017-06-01,1014232.73,384509.05,59,629723.6799999999,1030079.8999999999,-1.5384408529862514,2017
2017-07-01,1020601.6799999998,303172.37,67,717429.3099999998,1030079.8999999999,-0.920144155807728,2017
2017-08-01,1046969.1300000002,286439.6000000001,68,760529.5300000001,1046969.1300000002,0.0,2017
2017-09-01,1042856.8700000003,269037.34,69,773819.5300000003,1046969.1300000002,-0.3927775788384412,2017
2017-10-01,1072939.8499999999,262113.40000000005,69,810826.4499999997,1072939.8499999999,0.0,2017
2017-11-01,1091238.6500000001,243694.5800000001,70,847544.07,1091238.6500000001,0.0,2017
2017-12-01,1128767.7100000002,246665.21000000005,71,882102.5000000002,1128767.7100000002,0.0,2017
2018-01-01,1139276.7500000002,265403.1999999999,70,873873.5500000003,1139276.7500000002,0.0,2018
2018-02-01,1212284.8099999996,291804.9199999998,70,920479.8899999998,1212284.8099999996,0.0,2018
2018-03-01,1202404.6599999997,302144.67999999976,69,900259.98,1212284.8099999996,-0.8150023755556179,2018
2018-04-01,1204970.2799999996,279425.9199999997,71,925544.3599999999,1212284.8099999996,-0.6033672895728216,2018
2018-05-01,1229540.2599999995,341842.8299999998,67,887697.4299999998,1229540.2599999995,0.0,2018
2018-06-01,1383287.73,397227.6299999998,63,986060.1000000001,1383287.73,0.0,2018
2018-07-01,1427823.55,360812.84999999986,68,1067010.7000000002,1427823.55,0.0,2018
2018-08-01,1466090.1200000006,369636.0399999999,70,1096454.0800000005,1466090.1200000006,0.0,2018
2018-09-01,1593219.8,434683.38999999996,68,1158536.4100000001,1593219.8,0.0,2018
2018-10-01,1613620.9300000002,488299.27999999985,66,1125321.6500000004,1613620.9300000002,0.0,2018
2018-11-01,1437033.13,482925.0199999999,66,954108.11,1613620.9300000002,-10.943573965664926,2018
2018-12-01,1461752.9900000002,479418.08999999985,68,982334.9000000003,1613620.9300000002,-9.41162432740631,2018
2019-01-01,1332560.29,692120.38,51,640439.91,1613620.9300000002,-17.41800907354369,2019
