symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct
CRNT,2017-04-01,2017-05-01,3.28,3.31,3048,91.44000000000077,0.9146341463414753
MMYT,2017-04-01,2017-05-01,35.48,39.31,281,1076.2300000000016,10.794813979706896
NVAX,2017-04-01,2017-05-01,24.89,16.11,401,-3520.7800000000007,-35.27521092808357
COHR,2017-04-01,2017-05-01,38.93,33.86,256,-1297.92,-13.02337528898022
CASH,2017-04-01,2017-05-01,28.85,29.42,346,197.22000000000008,1.9757365684575312
NFLX,2017-04-01,2017-05-01,14.6,15.24,684,437.7600000000004,4.383561643835621
VECO,2017-04-01,2017-06-01,29.65,31.2,337,522.3500000000003,5.227655986509272
CWST,2017-04-01,2017-06-01,14.2,13.95,704,-176.0,-1.7605633802816878
SLM,2017-04-01,2017-06-01,11.99,10.37,834,-1351.0800000000008,-13.511259382819018
VICR,2017-04-01,2017-06-01,16.11,17.45,620,830.8,8.31781502172564
ARCB,2017-04-01,2017-06-01,25.31,19.32,395,-2366.0499999999993,-23.66653496641643
NEON,2017-04-01,2017-06-01,15.91,12.54,628,-2116.3600000000006,-21.181646763042117
SAIA,2017-04-01,2017-06-01,43.36,47.1,230,860.2000000000005,8.625461254612542
SVRA,2017-04-01,2017-06-01,8.46,4.95,1182,-4148.820000000001,-41.48936170212766
ASND,2017-04-01,2017-06-01,27.37,23.45,365,-1430.8000000000006,-14.32225063938619
COMM,2017-04-01,2017-06-01,41.74,37.25,239,-1073.1100000000006,-10.757067561092482
NSSC,2017-04-01,2017-06-01,5.1,4.78,1960,-627.1999999999988,-6.274509803921557
FATE,2017-04-01,2017-06-01,4.58,3.26,2183,-2881.5600000000004,-28.82096069868996
LRMR,2017-04-01,2017-06-01,57.1,43.28,175,-2418.5,-24.203152364273205
MVIS,2017-04-01,2017-06-01,2.68,2.04,3731,-2387.8400000000006,-23.880597014925375
EWBC,2017-04-01,2017-06-01,50.03,54.93,199,975.0999999999997,9.79412352588447
AMD,2017-04-01,2017-06-01,13.97,10.87,715,-2216.500000000001,-22.190408017179674
CYTK,2017-04-01,2017-06-01,12.52,13.74,798,973.5600000000005,9.74440894568691
FBNC,2017-04-01,2017-06-01,29.14,28.2,343,-322.4200000000004,-3.2258064516129115
MYRG,2017-05-01,2017-06-01,42.82,28.94,233,-3234.04,-32.4147594581971
VSEC,2017-05-01,2017-06-01,43.76,41.98,228,-405.84000000000026,-4.0676416819012795
BOOM,2017-05-01,2017-06-01,15.61,13.19,640,-1548.8,-15.50288276745676
OCUL,2017-05-01,2017-06-01,9.73,10.73,1027,1027.0,10.277492291880774
KLAC,2017-04-01,2017-07-01,96.01,93.13,104,-299.520000000001,-2.9996875325487005
TER,2017-04-01,2017-07-01,30.91,30.64,323,-87.20999999999987,-0.8735037204788076
MKSI,2017-04-01,2017-07-01,68.38,68.43,146,7.30000000000166,0.0731207955542823
GSAT,2017-04-01,2017-07-01,25.1,32.0,398,2746.1999999999994,27.490039840637447
CDZI,2017-04-01,2017-07-01,14.81,13.49,675,-891.0000000000002,-8.91289669142471
RUSHA,2017-05-01,2017-07-01,16.96,16.12,589,-494.75999999999993,-4.952830188679247
NFLX,2017-06-01,2017-07-01,16.24,15.28,615,-590.3999999999994,-5.9113300492610765
TATT,2017-06-01,2017-07-01,12.38,10.04,807,-1888.3800000000012,-18.901453957996782
CENX,2017-04-01,2017-08-01,12.36,17.56,809,4206.799999999999,42.071197411003226
AVXL,2017-04-01,2017-08-01,5.86,3.86,1706,-3412.000000000001,-34.12969283276451
PERI,2017-04-01,2017-08-01,5.23,5.07,1912,-305.9200000000003,-3.0592734225621476
IDN,2017-05-01,2017-08-01,2.96,3.19,3378,776.9399999999999,7.770270270270263
HROW,2017-05-01,2017-08-01,4.31,2.47,2320,-4268.799999999998,-42.69141531322504
AVGO,2017-06-01,2017-08-01,23.89,25.14,418,522.5,5.232314776056923
