date,portfolio_value,cash,positions,invested,peak,drawdown,year
2017-04-01,999999.9999999999,480698.0199999999,52,519301.98,999999.9999999999,0.0,2017
2017-05-01,1022018.1799999999,409351.51999999984,59,612666.66,1022018.1799999999,0.0,2017
2017-06-01,1039242.8999999999,366662.7299999999,63,672580.1699999999,1039242.8999999999,0.0,2017
2017-07-01,1019653.7999999998,308236.64999999997,68,711417.1499999998,1039242.8999999999,-1.884939507404871,2017
2017-08-01,1046973.5300000001,325209.06000000006,65,721764.4700000001,1046973.5300000001,0.0,2017
2017-09-01,1035802.6699999999,326388.6800000001,63,709413.9899999998,1046973.5300000001,-1.0669668028761163,2017
2017-10-01,1074885.3800000004,348552.03000000014,60,726333.3500000002,1074885.3800000004,0.0,2017
2017-11-01,1064730.9699999997,273955.62000000005,67,790775.3499999997,1074885.3800000004,-0.944697005740334,2017
2017-12-01,1089373.0599999996,286039.91000000003,65,803333.1499999996,1089373.0599999996,0.0,2017
2018-01-01,1093143.22,308020.18999999994,63,785123.03,1093143.22,0.0,2018
2018-02-01,1178982.8499999999,277976.02999999985,66,901006.8200000001,1178982.8499999999,0.0,2018
2018-03-01,1163043.2499999998,311293.51999999984,62,851749.7299999999,1178982.8499999999,-1.3519789537227023,2018
2018-04-01,1171497.2400000002,259267.54999999987,67,912229.6900000004,1178982.8499999999,-0.6349210253566995,2018
2018-05-01,1185462.3499999999,292512.2999999999,65,892950.05,1185462.3499999999,0.0,2018
2018-06-01,1320825.6199999999,296442.13999999984,67,1024383.4800000001,1320825.6199999999,0.0,2018
2018-07-01,1317019.3499999999,277373.4299999999,68,1039645.92,1320825.6199999999,-0.28817354405951173,2018
2018-08-01,1339866.42,312901.1499999999,67,1026965.27,1339866.42,0.0,2018
2018-09-01,1446403.5899999996,326372.01999999984,66,1120031.5699999998,1446403.5899999996,0.0,2018
2018-10-01,1455191.9299999997,350131.89999999985,63,1105060.0299999998,1455191.9299999997,0.0,2018
2018-11-01,1353394.4199999997,337962.08999999973,65,1015432.33,1455191.9299999997,-6.995469662891825,2018
2018-12-01,1332803.4699999997,352644.5199999997,66,980158.9500000001,1455191.9299999997,-8.410468576471558,2018
2019-01-01,1229601.5299999998,356897.22999999975,64,872704.3,1455191.9299999997,-15.502449907071705,2019
2019-02-01,1332096.4999999998,379564.3699999997,64,952532.1300000001,1455191.9299999997,-8.459051171346172,2019
2019-03-01,1433709.7399999995,413283.5799999997,63,1020426.1599999998,1455191.9299999997,-1.476244442889412,2019
2019-04-01,1417286.2399999995,399544.42999999964,64,1017741.8099999998,1455191.9299999997,-2.6048584532763446,2019
2019-05-01,1430996.6399999992,448945.2199999997,62,982051.4199999996,1455191.9299999997,-1.6626872030550985,2019
2019-06-01,1458353.6199999996,491092.53999999963,61,967261.0800000001,1458353.6199999996,0.0,2019
2019-07-01,1538436.63,507977.58999999985,60,1030459.04,1538436.63,0.0,2019
2019-08-01,1579765.0399999998,514067.6999999997,60,1065697.34,1579765.0399999998,0.0,2019
2019-09-01,1554614.1499999997,485907.4099999997,65,1068706.74,1579765.0399999998,-1.5920652352200508,2019
2019-10-01,1439321.7399999998,497366.7099999997,65,941955.0300000001,1579765.0399999998,-8.890138498064248,2019
2019-11-01,1520922.0799999994,528151.0899999996,63,992770.9899999998,1579765.0399999998,-3.7247918842412435,2019
